SKU,Description,UOM,Unit Qty,Unit Weight Kgs,Manufactured/Purchased,Product Group,Analysis Group,Packing Format,Dormant,Watch List,In Stock Qty,STD Cost,Average Unit Cost,Last PO Cost,Allergen,Kosher,Vegan,Vegetarian,POAO,Purity,Energy Kcal,Energy Kj,Total fat,Saturated fat,Monosaturates,Polysaturates,Total carbs,Sugars,Starch,Fibre,Protein,Sodium,Salt,RI mg,15% minimum mg,Upper limit mg,Celery and products thereof,Cereals containing gluten and products thereof,Crustaceans and products thereof,Eggs and products thereof,Fish and products thereof,Lupins and products thereof,Milk and products thereof (including lactose),Molluscs and products thereof,Mustard and products thereof,Nuts and products thereof,Oats and products thereof,Peanuts and products thereof,Sesame seeds and products thereof,Soybeans and products thereof,Sulphur dioxide and sulphites,Wheat and products thereof,Acidity Regulator,Active,Anti-caking Agent,Bulking Agent,Capsule,Colour,Colouring Agent,Emulsifier,Flavour,Mineral,Probiotic,Surfactant,Sweetener,Thickener,Vitamin,HPMC
800001,Grape Seed Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,8.8,0,27.0102,27.01,,,YES,YES,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800002,Green Coffee Bean Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,15.4371,15.44,,,YES,YES,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800003,African Mango Seed Extract 10:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,28.56,28.56,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800004,Acai Berry Extract 4:1,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0.991,0,25.0629,25.05,,,YES,YES,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800005,Beta-Alanine,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,134.592,0,2.6016,2.6,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800006,Cyanocobalamin Pure (source of vitamin B12),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,1.6541,0,1985.5369,1987.28,,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.0004,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800007,Choline Bitartrate (source of Choline),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,6.714,0,6.4641,6.46,,,,,,41,0,0,0,0,0,0,0,0,0,0,0,0,0,550,82.5,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800008,Caffeine Anhydrous,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,1.0773,0,8.3828,10.21,,,YES,YES,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800009,L-Tyrosine,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,37.006,0,8.9169,8.85,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800010,Spirulina Powder (60% Protein),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,1.147,0,12.7136,12.61,YES,,,,,60,290,1213,7.7,2.67,0,0,23.85,0,0,3.57,57.14,1.04,0,0,0,0,,,,,,,,,,,,,,,YES,,,YES,,,,,,,,,,,,,,
800011,Guarana Seed Extract (22% Caffeine),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,YES,0.223,0,16.7701,18.8868,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800012,Green Tea Extract (40% Polyphenols),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,10.7518,9.67,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800013,(#) - Nicotinamide (source of vitamin B3),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,163.6,0,7.3203,7.82,,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.4,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800014,Taurine,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0.097,0,7.6777,7.71,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800015,Chromium Picolinate (source of Chromium),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0.99,0,74.0567,76.76,,,,,,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.006,10,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,
800016,Ferrous Gluconate (source of Iron),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,23.305,0,9.0679,9.06,,,,,,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.1,9999,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,
800017,Griffonia Seed Extract (25% 5-HTP),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,0,0,,,YES,YES,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,
800018,(#) - Calcium Pantothenate (source of Vitamin B5),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,71.0679,0,13.9662,16.3,,,,,,92,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.9,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800019,(#) - Pyridoxine HCL (source of Vitamin B6),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,YES,15.7559,0,43.6193,76.75,,,,,,82.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,
800020,Kelp Powder,Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,0,0,6.5371,6.12,YES,,,,,100,,,,,,,,,,,,,,,,,,,YES,,YES,,,YES,,,,,,,,,,YES,,,,,,,,,,,,,,
800021,(#) - Potassium Iodide (source of Iodine),Kilogram,1,1,Purchased,990 - Bought Components,881 - Bought Ingredients,,,,1.7991,0,137.48,141.31,,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.0225,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,
